"feature_id","name","type"
"9997","CEMCOX1","alias"
"9997","MYP6","alias"
"9997","SCO1L","alias"
"9994","CED-4","alias"
"9994","FLASH","alias"
"9994","RIP25","alias"
"9993","DGS-C","alias"
"9993","IDD","alias"
"9993","LAN","alias"
"9993","SEZ-12","alias"
"9992","ATFB4","alias"
"9992","LQT5","alias"
"9992","LQT6","alias"
"9992","MIRP1","alias"
"9991","ROD1","alias"
"9990","ACCPN","alias"
"9990","KCC3","alias"
"9990","KCC3A","alias"
"9990","KCC3B","alias"
"999","Arc-1","alias"
"999","CD324","alias"
"999","CDHE","alias"
"999","ECAD","alias"
"999","LCAM","alias"
"999","UVO","alias"
"9989","MEG1","alias"
"9989","PP4(Rmeg)","alias"
"9989","PP4R1","alias"
"9988","DMP1","alias"
"9988","DMTF","alias"
"9988","MRUL","alias"
"9988","hDMP1","alias"
"9987","HNRNP","alias"
"9987","HNRPDL","alias"
"9987","JKTBP","alias"
"9987","JKTBP2","alias"
"9987","LGMD1G","alias"
"9987","laAUF1","alias"
"9986","FACE2","alias"
"9986","RCE1A","alias"
"9986","RCE1B","alias"
"9985","HR21spB","alias"
"9985","REC8L1","alias"
"9985","Rec8p","alias"
"9984","HPR1","alias"
"9984","P84","alias"
"9984","P84N5","alias"
"9982","FGF-BP","alias"
"9982","FGF-BP1","alias"
"9982","FGFBP","alias"
"9982","FGFBP-1","alias"
"9982","HBP17","alias"
"9980","21orf5","alias"
"9980","C21orf5","alias"
"998","CDC42Hs","alias"
"998","G25K","alias"
"998","TKS","alias"
"9978","BA554C12.1","alias"
"9978","RNF75","alias"
"9978","ROC1","alias"
"9976","AICL","alias"
"9976","CLECSF2","alias"
"9976","HP10085","alias"
"9976","IFNRG1","alias"
"9975","BD73","alias"
"9975","EAR-1R","alias"
"9975","RVR","alias"
"9972","HNUP153","alias"
"9972","N153","alias"
"9971","BAR","alias"
"9971","FXR","alias"
"9971","HRR-1","alias"
"9971","HRR1","alias"
"9971","PFIC5","alias"
"9971","RIP14","alias"
"9970","CAR","alias"
"9970","CAR1","alias"
"9970","MB67","alias"
"997","E2-CDC34","alias"
"997","UBC3","alias"
"997","UBCH3","alias"
"997","UBE2R1","alias"
"9969","ARC250","alias"
"9969","DRIP250","alias"
"9969","HSPC221","alias"
"9969","THRAP1","alias"
"9969","TRAP240","alias"
"9968","ARC240","alias"
"9968","CAGH45","alias"
"9968","FGS1","alias"
"9968","HOPA","alias"
"9968","MED12S","alias"
"9968","OHDOX","alias"
"9968","OKS","alias"
"9968","OPA1","alias"
"9968","TNRC11","alias"
"9968","TRAP230","alias"
"9967","TRAP150","alias"
"9966","TL1","alias"
"9966","TL1A","alias"
"9966","TNLG1B","alias"
"9966","VEGI","alias"
"9966","VEGI192A","alias"
"9963","SLC23A2","alias"
"9963","SVCT1","alias"
"9963","YSPL3","alias"
"9962","NBTL1","alias"
"9962","SLC23A1","alias"
"9962","SVCT2","alias"
"9962","YSPL2","alias"
"9962","hSVCT2","alias"
"9961","LRP","alias"
"9961","VAULT1","alias"
"9960","SIH003","alias"
"9960","UBP","alias"
"996","ANAPC3","alias"
"996","APC3","alias"
"996","CDC27Hs","alias"
"996","D0S1430E","alias"
"996","D17S978E","alias"
"996","H-NUC","alias"
"996","HNUC","alias"
"996","NUC2","alias"
"9958","UNPH-2","alias"
"9958","UNPH4","alias"
"9957","3OST","alias"
"9957","3OST1","alias"
"9956","30ST2","alias"
"9956","3OST2","alias"
"9955","3-OST-3A","alias"
"9955","3OST3A1","alias"
"9953","3-OST-3B","alias"
"9953","3OST3B1","alias"
"9953","h3-OST-3B","alias"
"9951","3-OST-4","alias"
"9951","30ST4","alias"
"9951","3OST4","alias"
"9951","h3-OST-4","alias"
"9950","GOLIM5","alias"
"9950","RFG5","alias"
"9950","ret-II","alias"
"995","CDC25","alias"
"995","PPP1R60","alias"
"9949","AMMERC1","alias"
"9949","MFHIEN","alias"
"9948","AIP1","alias"
"9948","HEL-S-52","alias"
"9948","NORI-1","alias"
"9947","CT7","alias"
"9947","CT7.1","alias"
"9946","4P11","alias"
"9946","QOH-1","alias"
"9945","GFAT","alias"
"9945","GFAT 2","alias"
"9945","GFAT2","alias"
"9943","OSR1","alias"
"9941","ENDOGL1","alias"
"9941","ENDOGL2","alias"
"9941","ENGL","alias"
"9941","ENGL-a","alias"
"9941","ENGL-b","alias"
"9941","ENGLA","alias"
"9941","ENGLB","alias"
"9940","CFAP81","alias"
"9940","DLC-1","alias"
"9940","DLC1","alias"
"9940","F56","alias"
"9939","BOV-1A","alias"
"9939","BOV-1B","alias"
"9939","BOV-1C","alias"
"9939","C1DELq21.1","alias"
"9939","DEL1q21.1","alias"
"9939","MDS014","alias"
"9939","RBM8","alias"
"9939","RBM8B","alias"
"9939","TAR","alias"
"9939","Y14","alias"
"9939","ZNRP","alias"
"9939","ZRNP1","alias"
"9938","HEL-S-308","alias"
"9938","KAIA0053","alias"
"9937","PSO2","alias"
"9937","SNM1","alias"
"9937","SNM1A","alias"
"9936","BIMLEC","alias"
"9936","CLEC13A","alias"
"9936","DCL-1","alias"
"9936","DCL1","alias"
"9935","DURS3","alias"
"9935","KRML","alias"
"9935","MCTO","alias"
"9934","BPR105","alias"
"9934","GPR105","alias"
"9934","P2Y14","alias"
"9933","HA-8","alias"
"9933","HLA-HA8","alias"
"9933","PEN","alias"
"9933","PUF-A","alias"
"9933","PUF6","alias"
"9933","XTP5","alias"
"9933","PUM3","alias"
"9931","DHRC","alias"
"9931","DRHC","alias"
"9931","HUMORF5","alias"
"993","CDC25A2","alias"
"9929","dJ508I15.2","alias"
"9928","MKS12","alias"
"9927","CMT2A","alias"
"9927","CMT2A2","alias"
"9927","CMT2A2A","alias"
"9927","CMT2A2B","alias"
"9927","CPRP1","alias"
"9927","HMSN6A","alias"
"9927","HSG","alias"
"9927","MARF","alias"
"9926","FAM34A","alias"
"9926","FAM34A1","alias"
"9926","NET8","alias"
"9924","USP52","alias"
"9923","ZNF923","alias"
"9922","ARF-GEP100","alias"
"9922","ARFGEP100","alias"
"9922","BRAG2","alias"
"9922","GEP100","alias"
"9921","RIE2","alias"
"9920","KLHDC7C","alias"
"9919","KIAA0310","alias"
"9919","SEC16L","alias"
"9919","p250","alias"
"9918","CAP-D2","alias"
"9918","CNAP1","alias"
"9918","hCAP-D2","alias"
"9917","gxk1","alias"
"9915","WEDAS","alias"
"9915","bHLHe1","alias"
"9914","SPCA2","alias"
"9913","SPT7L","alias"
"9913","STAF65","alias"
"9913","STAF65(gamma)","alias"
"9913","STAF65G","alias"
"9913","SUPT7H","alias"
"9912","NPC-A-10","alias"
"9912","RICH2","alias"
"9911","HUCEP11","alias"
"9910","HHL","alias"
"9910","TBC1D18","alias"
"991","CDC20A","alias"
"991","bA276H19.3","alias"
"991","p55CDC","alias"
"9909","KIAA0476","alias"
"9907","KIAA0415","alias"
"9907","SPG48","alias"
"9907","zeta","alias"
"9905","RUTBC1","alias"
"9902","CD280","alias"
"9902","CLEC13E","alias"
"9902","ENDO180","alias"
"9902","UPARAP","alias"
"9901","ARHGAP14","alias"
"9901","MEGAP","alias"
"9901","SRGAP2","alias"
"9901","WRP","alias"
"9900","SV2","alias"
"990","CDC18L","alias"
"990","HsCDC18","alias"
"990","HsCDC6","alias"
"990","MGORS5","alias"
"9899","HsT19680","alias"
"9898","NICE-4","alias"
"9898","NICE4","alias"
"9897","RTSC","alias"
"9897","RTSC1","alias"
"9897","SPG8","alias"
"9897","WASHC5","alias"
"9896","ALS11","alias"
"9896","BTOP","alias"
"9896","CMT4J","alias"
"9896","KIAA0274","alias"
"9896","SAC3","alias"
"9896","YVS","alias"
"9896","dJ249I4.1","alias"
"9895","KIAA0329","alias"
"9895","SPG49","alias"
"9894","CLK2","alias"
"9894","TEL2","alias"
"9894","YHFS","alias"
"9892","AP180","alias"
"9892","CALM","alias"
"9891","ARK5","alias"
"9890","LPR4","alias"
"9890","PHP1","alias"
"9890","PRG-1","alias"
"9890","PRG1","alias"
"9890","PLPPR4","alias"
"989","CDC10","alias"
"989","CDC3","alias"
"989","NBLA02942","alias"
"989","SEPT7A","alias"
"9887","C1orf16","alias"
"9887","EST1C","alias"
"9887","SGA56M","alias"
"9885","DFNA67","alias"
"9885","DNFA67","alias"
"9885","ORP-2","alias"
"9885","ORP2","alias"
"9884","LRRC37","alias"
"9883","P145","alias"
"9883","POM121A","alias"
"9882","AS160","alias"
"9882","NIDDM5","alias"
"9881","LBA1","alias"
"9880","ZNF922","alias"
"988","CDC5","alias"
"988","CDC5-LIKE","alias"
"988","CEF1","alias"
"988","PCDC5RP","alias"
"988","dJ319D22.1","alias"
"9879","PRPF5","alias"
"9879","Prp5","alias"
"9878","C14orf92","alias"
"9878","KIAA0737","alias"
"9878","LCP1","alias"
"9878","MIG7","alias"
"9877","ZC3HDC11A","alias"
"9875","C21orf108","alias"
"9875","NPA1","alias"
"9874","PKU-beta","alias"
"9873","NWK","alias"
"9873","SH3MD3","alias"
"9871","CLCRP2","alias"
"9870","FIEL1","alias"
"9870","KIAA0317","alias"
"987","BGL","alias"
"987","CDC4L","alias"
"987","CVID8","alias"
"987","LAB300","alias"
"987","LBA","alias"
"9869","ESET","alias"
"9869","H3-K9-HMTase4","alias"
"9869","KG1T","alias"
"9869","KMT1E","alias"
"9869","TDRD21","alias"
"9868","Tom70","alias"
"9868","TOMM70","alias"
"9867","Neurodap1","alias"
