"feature_id","name","type"
"56214","2410022D05Rik","alias"
"56214","AI448940","alias"
"56214","AU022392","alias"
"56214","AW742369","alias"
"56214","Sc4","alias"
"18000","AW208991","alias"
"18000","Nedd-5","alias"
"18000","Nedd5","alias"
"18000","mKIAA0158","alias"
"68371","0610038K03Rik","alias"
"68371","Mawbp","alias"
"68371","Pbld","alias"
"14727","Gp49a","alias"
"14727","gp49","alias"
"258950","MOR136-4","alias"
"258945","MOR136-9","alias"
"258400","GA_x6K02T0101M-139-669","alias"
"258400","MOR189-3","alias"
"258400","Olfr228-ps1","alias"
"259032","MOR176-1","alias"
"100040268","Mor262-12","alias"
"100040268","Olfr37c","alias"
"100040268","Or37c","alias"
"258786","MOR231-11","alias"
"258428","MOR175-5","alias"
"258148","MOR111-13","alias"
"258148","MOR111-9P","alias"
"258148","Olfr789-ps1","alias"
"258429","MOR175-4","alias"
"258306","MOR259-10","alias"
"258306","Olfr219-ps1","alias"
"18350","ID3","alias"
"18350","MOR136-6","alias"
"29846","MOR262-6","alias"
"29846","OR37B","alias"
"29846","Olfr37b","alias"
"29846","mOR37b","alias"
"258235","MOR192-2","alias"
"258235","MOR192-3","alias"
"406176","M71","alias"
"406176","MOR171-2","alias"
"259117","MOR14-1","alias"
"258311","MOR24-3","alias"
"72544","2610510N21Rik","alias"
"72544","C76919","alias"
"72544","Mtr3","alias"
"67064","2810405I11Rik","alias"
"67064","Chmp1b1","alias"
"258491","MOR204-17","alias"
"258486","MOR247-1","alias"
"258388","MOR245-12","alias"
"258737","MOR245-1","alias"
"258737","MOR245-26","alias"
"16621","APS","alias"
"16621","Kal-3","alias"
"16621","Kal3","alias"
"16621","Klk3","alias"
"16621","PSA","alias"
"260296","2czf61","alias"
"260296","AU018704","alias"
"260296","C85201","alias"
"260296","E330039K03Rik","alias"
"260296","Rnf35","alias"
"102640920","Gm36869","alias"
"258732","MOR204-10","alias"
"258887","MOR248-7","alias"
"258417","MOR204-22","alias"
"258439","MOR245-5","alias"
"628475","EG628475","alias"
"18226","D7Ertd649e","alias"
"18226","Nupc1","alias"
"18226","p62","alias"
"258490","MOR204-18","alias"
"258888","MOR248-6","alias"
"258271","MOR245-21","alias"
"258094","MOR218-12","alias"
"258094","MOR218-5P","alias"
"258094","MOR218-6P","alias"
"258094","Olfr1552-ps1","alias"
"258350","MOR283-11","alias"
